timestamp_utc,run_label,prompt_name,run_index,cpu_threads,cpu_isa,cpu_kv_cache,prompt_tokens,generated_tokens,prefill_only,load_time_ms,prefill_time_ms,prefill_tokens_per_second,decode_time_ms,tokens_per_second
2026-09-05T20:17:24.4304529Z,q4-prefill-E1,prefill256,2,6,avx2,fp16,256,0,True,773.42856,939.453597,272.498824,0,0
2026-09-05T20:17:25.9241445Z,q4-prefill-E1,prefill256,3,6,avx2,fp16,256,0,True,771.982613,672.523341,380.655933,0,0
2026-09-05T20:17:29.4085078Z,combined-prefill-F1,prefill256,1,6,avx2,fp16,256,0,True,778.169203,691.100759,370.423555,0,0
2026-09-05T20:17:31.1974678Z,combined-prefill-F1,prefill256,2,6,avx2,fp16,256,0,True,771.159158,924.141022,277.013999,0,0
2026-09-05T20:17:32.6857732Z,combined-prefill-F1,prefill256,3,6,avx2,fp16,256,0,True,773.533608,665.949759,384.413383,0,0
2026-09-05T20:17:36.1916764Z,combined-prefill-F2,prefill256,1,6,avx2,fp16,256,0,True,779.535586,691.533431,370.191792,0,0
2026-09-05T20:17:37.9808032Z,combined-prefill-F2,prefill256,2,6,avx2,fp16,256,0,True,769.531644,925.178485,276.703365,0,0
2026-09-05T20:17:39.4813087Z,combined-prefill-F2,prefill256,3,6,avx2,fp16,256,0,True,775.194866,679.097263,376.971038,0,0
2026-09-05T20:17:42.9529164Z,q4-prefill-E2,prefill256,1,6,avx2,fp16,256,0,True,771.615626,668.272736,383.077127,0,0
2026-09-05T20:17:44.7673497Z,q4-prefill-E2,prefill256,2,6,avx2,fp16,256,0,True,774.524306,945.120343,270.864977,0,0
2026-09-05T20:17:46.2647908Z,q4-prefill-E2,prefill256,3,6,avx2,fp16,256,0,True,771.920278,675.938431,378.732719,0,0
